pm\mA;1;0.9;0.8;0.7;0.6;0.5;0.4;0.3;0.2;0.1
72;605.15;547.75;490.35;432.95;375.55;318.15;260.75;203.35;145.95;88.55
73;871.65;789.92;708.19;626.47;544.74;463.01;381.28;299.56;217.83;136.1
74;1028.95;932.89;836.83;740.77;644.71;548.64;452.58;356.52;260.46;164.4
74.9;281.45;254.81;228.17;201.53;174.89;148.26;121.62;94.98;68.34;41.7
75.9;144.8;130.94;117.08;103.22;89.36;75.49;61.63;47.77;33.91;20.05
76.9;138.35;124.98;111.62;98.25;84.88;71.52;58.15;44.78;31.42;18.05
77.8;132.5;119.71;106.92;94.13;81.34;68.56;55.77;42.98;30.19;17.4
78.8;124.2;112.24;100.28;88.32;76.36;64.39;52.43;40.47;28.51;16.55
79.8;127.3;114.96;102.61;90.27;77.92;65.58;53.23;40.89;28.54;16.2
80.7;122.25;110.32;98.38;86.45;74.52;62.58;50.65;38.72;26.78;14.85
81.7;116.15;104.95;93.75;82.55;71.35;60.15;48.95;37.75;26.55;15.35
82.7;107.9;97.58;87.26;76.93;66.61;56.29;45.97;35.64;25.32;15
83.6;102.7;92.71;82.71;72.72;62.72;52.73;42.73;32.74;22.74;12.75
84.6;102.25;92.29;82.33;72.37;62.41;52.44;42.48;32.52;22.56;12.6
85.6;96.65;87.32;77.99;68.67;59.34;50.01;40.68;31.36;22.03;12.7
86.5;89.95;81.29;72.63;63.97;55.31;46.64;37.98;29.32;20.66;12
87.5;88.95;80.33;71.72;63.1;54.48;45.87;37.25;28.63;20.02;11.4
88.5;89;80.45;71.9;63.35;54.8;46.25;37.7;29.15;20.6;12.05
89.4;83.35;75.26;67.17;59.08;50.99;42.91;34.82;26.73;18.64;10.55
90.4;81.05;73.34;65.64;57.93;50.23;42.52;34.82;27.11;19.41;11.7
91.4;78.4;71.1;63.8;56.5;49.2;41.9;34.6;27.3;20;12.7
92.3;72.45;65.52;58.59;51.67;44.74;37.81;30.88;23.96;17.03;10.1
93.3;68.5;61.77;55.04;48.32;41.59;34.86;28.13;21.41;14.68;7.95
94.3;67.65;61.04;54.43;47.82;41.21;34.59;27.98;21.37;14.76;8.15
95.2;62.25;56.18;50.11;44.03;37.96;31.89;25.82;19.74;13.67;7.6
96.2;58.4;52.82;47.24;41.67;36.09;30.51;24.93;19.36;13.78;8.2
97.2;54.3;49.09;43.89;38.68;33.48;28.27;23.07;17.86;12.66;7.45
98.1;54.4;49.15;43.9;38.65;33.4;28.15;22.9;17.65;12.4;7.15
99.1;51.2;46.28;41.36;36.43;31.51;26.59;21.67;16.74;11.82;6.9
100.1;50.3;45.41;40.52;35.63;30.74;25.86;20.97;16.08;11.19;6.3
101;47.45;42.87;38.29;33.72;29.14;24.56;19.98;15.41;10.83;6.25
102;47.8;43.28;38.77;34.25;29.73;25.22;20.7;16.18;11.67;7.15
103;47.2;42.7;38.2;33.7;29.2;24.7;20.2;15.7;11.2;6.7
103.9;42.95;38.87;34.79;30.72;26.64;22.56;18.48;14.41;10.33;6.25
104.9;45.3;40.93;36.57;32.2;27.83;23.47;19.1;14.73;10.37;6
105.9;44.4;40.13;35.87;31.6;27.33;23.07;18.8;14.53;10.27;6
106.8;38.95;35.18;31.42;27.65;23.88;20.12;16.35;12.58;8.82;5.05
107.8;40.65;36.65;32.65;28.65;24.65;20.65;16.65;12.65;8.65;4.65
